time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 16:31:25.677381715,952.1253502237649,492.799760052472,{'D'},1.0,-1.0,{}
2019-11-05 16:31:25.684524572,,,"{'D','D'}",2.0,-0.5,{}
2019-11-05 16:31:25.691667429,953.423560769496,490.908329161262,"{'D','D'}",1.5,-1.0,{}
2019-11-05 16:31:25.698810286,955.275335920325,490.853623398402,"{'D','D'}",1.0,-1.0,{}
2019-11-05 16:31:25.705953143,,,"{'D','D'}",0.0,-0.5,{}
2019-11-05 16:31:25.713096000,955.9255370216009,490.74548170802694,{'D'},0.0,-0.5,{}
2019-11-05 16:31:25.720238857,958.0980240346671,489.916752165361,"{'D','D'}",0.0,-0.5,{'LEFT'}
2019-11-05 16:31:25.727381714,,,"{'D','D'}",0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.734524571,962.58528594865,488.07128263187303,"{'D','D'}",0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.741667428,,,{'D'},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.748810285,960.916687979032,488.76894484884696,"{'D','D'}",0.0,0.0,{'LEFT'}
2019-11-05 16:31:25.755953142,960.9019555556121,489.47886020348096,"{'D','D'}",0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.763095999,,,{'D'},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.770238856,961.727746352898,489.938777166744,{},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.777381713,960.689605993246,490.025831780885,{},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.784524570,,,{},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.791667427,958.8163120616961,493.37322389325897,{},0.5,0.0,{'LEFT'}
2019-11-05 16:31:25.798810284,958.3877907272031,494.540496736474,{},0.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.805953141,,,{},0.5,0.5,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.813095998,958.3760813122211,496.12625290664704,{},0.0,0.0,{'LEFT'}
2019-11-05 16:31:25.820238855,959.1383152931261,498.615577469967,{},0.5,1.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.827381712,,,{},0.0,1.0,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.834524569,959.7130175228841,500.28991512697604,{},0.0,1.5,"{'LEFT','LEFT'}"
2019-11-05 16:31:25.841667426,960.848610790418,501.79345787852094,{},0.0,2.5,"{'LEFT','LEFT'}"
